,Unnamed: 0.1,Unnamed: 0,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr,Imputed Old Zn,Imputed Old Cu,Imputed Old Ni,Imputed Old Co,Imputed Old Mn,Imputed Old Fe,Imputed Old F,Imputed Old Hg,Imputed Old U,Imputed New Ag,Imputed New Al,Imputed New Ba,Imputed New Be,Imputed New Ca,Imputed New Cd,Imputed New Ce,Imputed New Co,Imputed New Cr,Imputed New Cs,Imputed New Cu,Imputed New Dy,Imputed New Er,Imputed New Eu,Imputed New Fe,Imputed New Ga,Imputed New Gd,Imputed New Hg,Imputed New Ho,Imputed New K,Imputed New La,Imputed New Li,Imputed New Lu,Imputed New Mg,Imputed New Mn,Imputed New Mo,Imputed New Na,Imputed New Nb,Imputed New Nd,Imputed New Ni,Imputed New P,Imputed New Pb,Imputed New Pr,Imputed New Rb,Imputed New S,Imputed New Sc,Imputed New Se,Imputed New Sm,Imputed New Sr,Imputed New Tb,Imputed New Th,Imputed New Ti,Imputed New Tl,Imputed New Tm,Imputed New U,Imputed New V,Imputed New Y,Imputed New Yb,Imputed New Zn,Imputed New Zr,geometry,CLR(Imputed New Ag),CLR(Imputed New Al),CLR(Imputed New Ba),CLR(Imputed New Be),CLR(Imputed New Ca),CLR(Imputed New Cd),CLR(Imputed New Ce),CLR(Imputed New Co),CLR(Imputed New Cr),CLR(Imputed New Cs),CLR(Imputed New Cu),CLR(Imputed New Dy),CLR(Imputed New Er),CLR(Imputed New Eu),CLR(Imputed New Fe),CLR(Imputed New Ga),CLR(Imputed New Gd),CLR(Imputed New Hg),CLR(Imputed New Ho),CLR(Imputed New K),CLR(Imputed New La),CLR(Imputed New Li),CLR(Imputed New Lu),CLR(Imputed New Mg),CLR(Imputed New Mn),CLR(Imputed New Mo),CLR(Imputed New Na),CLR(Imputed New Nb),CLR(Imputed New Nd),CLR(Imputed New Ni),CLR(Imputed New P),CLR(Imputed New Pb),CLR(Imputed New Pr),CLR(Imputed New Rb),CLR(Imputed New S),CLR(Imputed New Sc),CLR(Imputed New Se),CLR(Imputed New Sm),CLR(Imputed New Sr),CLR(Imputed New Tb),CLR(Imputed New Th),CLR(Imputed New Ti),CLR(Imputed New Tl),CLR(Imputed New Tm),CLR(Imputed New U),CLR(Imputed New V),CLR(Imputed New Y),CLR(Imputed New Yb),CLR(Imputed New Zn),CLR(Imputed New Zr)
0,0,1,013L781002,013L,54.9890932,-62.0190714,40.0,38.0,,43.0,10.0,,70.0,1.0,,2.0,85.0,23.0,40.0,0.3,Routine,013L,54.989,-62.01995,57.0,2.89,,1.0,,81.5,0.2,0.02,0.48,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,1.06,4.6,1.66,,0.03,46.0,0.23,,0.03,10.5,2.9,0.1,0.26,60.0,0.55,0.103,0.39,11.2,52.9,0.042,1.9,,2.84,,1.6,,0.25,,2.3,0.7,1.9,0.1,41.0,,0.2,,0.8,0.021,0.03,0.1,0.3,31.0,,6.04,0.64,44.0,0.9,40.0,38.0,43.0,10.0,70.0,1.0,85.0,40.0,0.3,57.0,28900.0,81.5,0.2,4800.0,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,10600.0,4.6,1.66,46.0,0.23,300.0,10.5,2.9,0.1,2600.0,60.0,0.55,1030.0,0.39,11.2,52.9,420.0,1.9,2.84,1.6,2500.0,2.3,0.7,1.9,41.0,0.2,0.8,210.0,0.03,0.1,0.3,31.0,6.04,0.64,44.0,0.9,POINT (-62.0190714 54.9890932),1.9631869642312516,8.191732570497225,2.3207387166435183,-3.6893022160373987,6.396506893292684,-3.2192985867916635,0.8698240314492857,0.21267045353724567,1.0380856026749417,-3.851821145535174,1.691976671224985,-1.9143498651257254,-2.5106472196957528,-2.659682798856241,7.18874497649686,-0.5538080001082493,-1.5730467012348468,1.7487770928857964,-3.5495402736622403,3.6239181710529027,0.2715109535601792,-1.0151535666108702,-4.382449396597345,5.783402420406275,2.014480258618802,-2.677701304358919,4.857449777620383,-3.0214728434617437,0.3360494746977502,1.888539035260955,3.960390407674115,-1.4380104174309039,-1.036060251430184,-1.609860674357563,5.744181707252993,-1.2469551806681947,-2.436539247542031,-1.4380104174309039,1.633707763101009,-3.6893022160373987,-2.3030078549175084,3.2672432271141703,-5.5864222009232805,-4.382449396597345,-3.2838371079292346,1.3541229008818476,-0.28146029165657505,-2.526151406231718,1.7043253303149626,-2.185224819261125
1,1,2,013L781003,013L,54.9753817,-62.0305772,40.0,44.0,,35.0,8.0,,80.0,1.9,,,80.0,33.0,70.0,0.5,Routine,013L,54.97529,-62.03145,106.0,3.22,0.1,1.6,,26.0,,0.02,0.48,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,2.19,5.0,1.41,,0.03,66.0,0.2,,0.02,10.0,2.5,0.07,0.2,69.0,0.71,0.08,0.55,9.85,44.7,0.094,2.26,,2.61,,1.6,,0.3,0.02,2.3,1.3,1.76,0.1,31.3,,0.19,,0.8,0.021,0.03,0.08,0.3,45.0,,5.65,0.49,45.1,1.0,40.0,44.0,35.0,8.0,80.0,1.9,80.0,70.0,0.5,106.0,32200.000000000004,26.0,0.1807619211335676,4800.0,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,21900.0,5.0,1.41,66.0,0.2,200.0,10.0,2.5,0.07,2000.0,69.0,0.71,800.0,0.55,9.85,44.7,940.0,2.26,2.61,1.6,3000.0,2.3,1.3,1.76,31.3,0.19,0.8,210.0,0.03,0.08,0.3,45.0,5.65,0.49,45.1,1.0,POINT (-62.0305772 54.9753817),2.573943318284946,8.29022595570538,1.1686007621943608,-3.8000702422325507,6.386875421068861,-3.139317900325799,0.7953049370195879,0.08525594565703962,0.9454572108801511,-3.804294203919048,1.8088339024690223,-1.8271315113596303,-2.7243740482630905,-2.6516146939806626,7.904746139977471,-0.4800578633930208,-1.7459060714370442,2.1001589661993045,-3.6989336882612216,3.2088215907209157,0.21308931716692447,-1.1732050439529662,-4.748755812759899,5.511406683714961,2.144610728770138,-2.4319860847738974,4.595115951840806,-2.6873327765827417,0.1979756793568763,1.710477725792402,4.756384099436929,-1.2741309625429267,-1.1301455544925192,-1.6194921465813856,5.916871791823126,-1.256586652892017,-1.8271315113596303,-1.5241819667770609,1.3541223217189864,-3.750226982648772,-2.312639327141331,3.2576117548903474,-5.596053673147103,-4.615224420135377,-3.293468580153057,1.7171667139431985,-0.3578402306687715,-2.802845663704586,1.7193864706815116,-2.089495775827121
2,2,3,013L781004,013L,54.9763308,-62.0449127,46.0,30.0,,34.0,8.0,,80.0,0.7,,2.0,90.0,27.2,50.0,0.6,Routine,013L,54.97623,-62.04579,59.0,2.34,0.1,1.1,,49.9,0.1,0.03,0.56,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,0.75,4.4,1.77,,0.03,51.0,0.28,,0.02,12.3,3.1,0.09,0.26,58.0,0.46,0.107,0.51,12.79,42.4,0.052,2.15,,3.22,,1.7,,0.27,0.04,2.2,0.7,2.2,0.1,40.9,,0.22,,0.7,0.023,0.04,0.09,0.3,17.0,,7.19,0.64,51.4,0.8,46.0,30.0,34.0,8.0,80.0,0.7,90.0,50.0,0.6,59.0,23400.0,49.9,0.1,5600.000000000001,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,7500.0,4.4,1.77,51.0,0.28,200.0,12.3,3.1,0.09,2600.0,58.0,0.46,1070.0,0.51,12.79,42.4,520.0,2.15,3.22,1.7,2700.0,2.2,0.7,2.2,40.9,0.22,0.7,230.0,0.04,0.09,0.3,17.0,7.19,0.64,51.4,0.8,POINT (-62.0449127 54.9763308),2.0207150526609903,8.003668910101064,1.853198611512744,-4.359407484238774,6.573699485478512,-3.2946967472463466,0.9636024948996335,0.059433123557823236,0.8500786686026462,-3.771620819336656,1.449935486077919,-1.7061655196315597,-2.399312700191505,-2.4723378352063947,6.8658359082796725,-0.5752178503205134,-1.4858428446589913,1.8750032414795967,-3.329788067057616,3.2414949753033078,0.4527768711336429,-0.9254202797536284,-4.464767999896601,5.806444332764844,2.00362061930169,-2.8333511807437253,4.918591536211223,-2.7301669445084946,0.4918412243460222,1.690325970993183,4.197006420330744,-1.2913545491051577,-0.887441031688412,-1.5261941401825587,5.8441846607476915,-1.2683650308804588,-2.4134973351834614,-1.2683650308804588,1.654307671804027,-3.5709501238745047,-2.4134973351834614,3.381256917678466,-5.2756982161129296,-4.464767999896601,-3.260795195570665,0.7763909528114871,-0.08413121951177367,-2.5031094938731484,1.8828157812163904,-2.2799659425589387
3,3,4,013L781005,013L,54.973541,-62.0547902,50.0,26.0,,22.0,6.0,,120.0,0.85,,2.0,60.0,29.6,40.0,0.6,First Field Duplicate,013L,54.97344,-62.05566,70.0,2.26,0.1,0.9,,20.3,0.2,,0.47,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,0.84,3.2,1.82,,0.02,51.0,0.28,,0.02,12.2,1.8,0.12,0.14,94.0,0.79,0.072,0.37,13.24,26.1,0.051,1.55,,3.37,,1.1,,0.35,,2.1,0.6,2.05,0.1,28.2,,0.26,,0.6,0.014,0.03,0.12,0.6,34.0,,8.08,0.74,51.1,0.8,50.0,26.0,22.0,6.0,120.0,0.85,60.0,40.0,0.6,70.0,22599.999999999996,20.3,0.2,4700.0,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,8400.0,3.2,1.82,51.0,0.28,200.0,12.2,1.8,0.12,1400.0000000000002,94.0,0.79,720.0,0.37,13.24,26.1,509.99999999999994,1.55,3.37,1.1,3500.0,2.1,0.6,2.05,28.2,0.26,0.6,140.0,0.03,0.12,0.6,34.0,8.08,0.74,51.1,0.8,POINT (-62.0547902 54.973541),2.241352866047925,8.018562809258944,1.0034785100463077,-3.616580288435534,6.448175411696716,-3.245016732003051,0.8377670078179734,-0.15084438563580768,0.6319149536138247,-4.047363204527988,1.2536428519439764,-1.621879975210789,-2.2556037352999336,-2.34963268494821,7.028844608829971,-0.843991566195753,-1.40830587491273,1.9246832567228918,-3.2801080518143215,3.291174990546603,0.49429357573777694,-1.419355711099315,-4.127405912201525,5.237085139601916,2.53615240626857,-2.242864709522504,4.572108836008667,-3.001394649345301,0.5761001745074283,1.2547929383272138,4.227268349716938,-1.5688874450702786,-0.7922296316371635,-1.911832196197109,6.153375871476071,-1.2652050312720566,-2.5179679997674245,-1.289302582851117,1.332179601942634,-3.354216023968043,-2.5179679997674245,2.9345000466078703,-5.513700273321415,-4.127405912201525,-2.5179679997674245,1.5192181486147274,0.08224949653157017,-2.3082474687853556,1.926642121208225,-2.2302859273156437
4,4,5,013L781007,013L,54.9369835,-62.0263991,42.0,20.0,,22.0,9.0,,100.0,0.7,,2.0,65.0,33.6,60.0,0.3,Routine,013L,54.93689,-62.02727,62.0,1.89,,0.3,,35.8,,,0.55,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,0.75,3.6,2.19,,0.02,74.0,0.26,,0.02,15.7,2.6,0.1,0.2,79.0,0.64,0.051,0.49,16.58,26.1,0.046,1.59,,4.02,,1.7,,0.26,,2.2,0.5,2.78,0.2,28.9,,0.26,,0.6,0.021,0.05,0.1,0.3,28.0,,7.53,0.61,45.4,0.9,42.0,20.0,22.0,9.0,100.0,0.7,65.0,60.0,0.3,62.0,18900.0,35.8,0.1684700699178105,5500.0,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,7500.0,3.6,2.19,74.0,0.26,200.0,15.7,2.6,0.1,2000.0,79.0,0.64,509.99999999999994,0.49,16.58,26.1,460.0,1.59,4.02,1.7,2600.0,2.2,0.5,2.78,28.9,0.26,0.6,210.0,0.05,0.1,0.3,28.0,7.53,0.61,45.4,0.9,POINT (-62.0263991 54.9369835),2.0705855121489005,7.790368328151542,1.5213990205104635,-3.837546044463916,6.555954498324371,-3.135358534268121,1.2612668998269132,0.14067570444002825,0.8719746509643499,-3.6659867853302917,1.0068420491316146,-1.763879258933371,-2.442211353708176,-2.51858433249275,6.866109426628211,-0.7756150274341267,-1.2726473290677816,2.2475162203079786,-3.4036225208628004,3.2417684936518456,0.6971118394580713,-1.1010374278687547,-4.359133965890237,5.544353586645891,2.3128989795708303,-2.5028359755246106,4.17786185282218,-2.7698987607736556,0.7516482768109576,1.2053864414324567,4.07467761658695,-1.592814856664051,-0.6652669702652616,-1.5259206218340207,5.806717851113382,-1.2680915125319208,-2.749696053456136,-1.0340979451936454,1.3072927222221953,-3.4036225208628004,-2.5673744966621816,3.2905586578212778,-5.0522811464501824,-4.359133965890237,-3.260521677222127,1.2756556372790129,-0.03765383108438884,-2.550845194710971,1.7589632321511113,-2.1619093885540175
5,5,6,013L781008,013L,54.9333356,-62.0481194,36.0,18.0,,19.0,7.0,,80.0,0.9,,,80.0,36.2,60.0,0.5,Routine,013L,54.93324,-62.04899,46.0,2.3,,2.3,,32.5,,,0.56,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,0.89,4.5,2.07,,0.03,71.0,0.25,,0.02,14.9,3.5,0.08,0.21,61.0,0.55,0.062,0.62,15.84,23.0,0.063,1.94,,4.07,,1.6,,0.26,,2.0,0.7,2.51,0.2,28.2,,0.25,,0.6,0.024,0.04,0.09,0.3,33.0,,6.59,0.58,37.3,0.9,36.0,18.0,19.0,7.0,80.0,0.9,80.0,60.0,0.5,46.0,23000.0,32.5,0.1701198656591816,5600.000000000001,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,8900.0,4.5,2.07,71.0,0.25,200.0,14.9,3.5,0.08,2100.0,61.0,0.55,620.0,0.62,15.84,23.0,630.0,1.94,4.07,1.6,2600.0,2.0,0.7,2.51,28.2,0.25,0.6,240.0,0.04,0.09,0.3,33.0,6.59,0.58,37.3,0.9,POINT (-62.0481194 54.9333356),1.781139729749516,7.995747828171708,1.4337384225961127,-3.81875366501928,6.583020209983662,-3.3945753147061883,1.2666843379329464,-0.04602166652945499,0.95818093766758,-3.70823287356123,0.8921892159307869,-1.7928594483659983,-2.4479792333367043,-2.4782845828320332,7.046304888980652,-0.5434242699633051,-1.3199530594623017,2.2151782103017363,-3.43379602785947,3.2508156998084576,0.6538595462118344,-0.7947386982442111,-4.573230311047834,5.602190956971936,2.0633721974337322,-2.6453386674951993,4.382217811299558,-2.525537467682579,0.7150367196467008,1.0879925491895706,4.398218152645999,-1.3848136936643425,-0.6438586672850755,-1.5774980374938434,5.815765057269994,-1.354354486179634,-2.4041766106783116,-1.1272189135958868,1.2918203112044888,-3.43379602785947,-2.5583272905055696,3.433137256602412,-5.26637749160778,-4.455447275391451,-3.251474471065515,1.4490058947269011,-0.16194831822516328,-2.5922288421812514,1.5714916599101907,-2.1528621823974055
6,6,7,013L781009,013L,54.9187277,-62.0304917,38.0,18.0,2.0,11.0,6.0,,100.0,0.5,,,45.0,39.0,70.0,0.3,Routine,013L,54.91863,-62.03136,87.0,1.37,,0.5,,10.0,,,0.49,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,0.51,1.7,2.51,,0.02,88.0,0.32,,0.01,18.1,1.2,0.1,0.09,82.0,1.08,0.021,0.37,18.75,12.1,0.044,1.31,,4.83,2.0,0.9,,0.35,0.03,2.3,0.6,3.26,0.1,23.7,,0.31,,0.5,0.015,0.04,0.11,0.3,19.0,,8.98,0.71,36.2,0.8,38.0,18.0,11.0,6.0,100.0,0.5,45.0,70.0,0.3,87.0,13700.000000000002,10.0,0.1641482032803553,4900.0,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,5100.0,1.7,2.51,88.0,0.32,100.0,18.1,1.2,0.1,900.0,82.0,1.08,210.0,0.37,18.75,12.1,440.0,1.31,4.83,0.9,3500.0,2.3,0.6,3.26,23.7,0.31,0.5,150.0,0.04,0.11,0.3,19.0,8.98,0.71,36.2,0.8,POINT (-62.0304917 54.9187277),2.563842811758929,7.623085804920562,0.40051978609839095,-3.709050887586467,6.594925177203063,-3.249138954862264,1.4084777064983698,0.02945610470755905,0.2951592704405646,-3.942286135422209,0.8792353559461481,-1.395247704527203,-2.041327374229162,-2.088394885087148,6.634930511816762,-1.3714370558334843,-0.9817825537519622,2.575271507582552,-3.0414995900840194,2.703104879092437,0.9938466313761255,-1.7197437501017,-4.2046503998897,4.900329456428656,2.5046539403685983,-1.8251042657595262,3.445042223821814,-2.8963175802395216,1.0291284455207652,0.5911401457070407,4.184709420016652,-1.6320381696825945,-0.3272188392311734,-2.007425822553481,6.25845294058185,-1.0691561839605508,-2.4128909306616455,-0.7203381115170384,1.2634097412454308,-3.0732482883985996,-2.5952124874556,3.108569987200601,-5.120941131763855,-4.109340220085375,-3.106038111221591,1.0423736722707857,0.29293457541845364,-2.244555615842431,1.6869938119360708,-2.1252088582098643
7,7,8,013L781010,013L,54.916706,-62.0875934,44.0,20.0,2.0,20.0,8.0,,140.0,1.7,,2.0,90.0,22.8,60.0,0.8,Routine,013L,54.91661,-62.08846,64.0,2.93,,0.5,,72.8,0.1,,0.63,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,1.77,5.4,1.93,,0.04,67.0,0.26,,0.03,14.3,4.4,0.09,0.31,115.0,0.82,0.103,0.73,15.81,23.9,0.08,2.17,,3.94,,2.0,,0.13,,2.6,0.6,2.52,0.2,34.9,,0.25,,0.8,0.032,0.04,0.09,0.9,50.0,,6.87,0.59,49.2,1.1,44.0,20.0,20.0,8.0,140.0,1.7,90.0,60.0,0.8,64.0,29300.0,72.8,0.1,6300.0,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,17700.0,5.4,1.93,67.0,0.26,300.0,14.3,4.4,0.09,3100.0,115.0,0.82,1030.0,0.73,15.81,23.9,800.0,2.17,3.94,2.0,1300.0,2.6,0.6,2.52,34.9,0.25,0.8,320.0,0.04,0.09,0.9,50.0,6.87,0.59,49.2,1.1,POINT (-62.0875934 54.916706),1.9557178214472832,8.08217753309277,2.084550693290252,-4.505750354906434,6.5451396504672354,-3.812603174346489,1.160676333205998,0.0051091516104159055,0.9538351592377248,-3.763813010177057,0.8508359197655783,-1.9104956479495685,-2.5742289433032206,-2.6652007215089473,7.578154656649532,-0.5167663083421598,-1.5456452589955942,2.0015273574785777,-3.5502389098789977,3.5006172127438124,0.4570942753534731,-0.7215607209881729,-4.611110870564261,5.835992128560849,2.5417668664508617,-2.401616200636227,4.734148819311293,-2.517876006752089,0.5574773893089923,0.9707131970250764,4.481446465755539,-1.4284380943600203,-0.8319845386025461,-1.5100180813524433,4.966954281537239,-1.247653816884952,-2.713990885678379,-1.2789063603890565,1.3493215672959928,-3.5894596230322793,-2.426308813226598,3.5651557338813835,-5.422041086780589,-4.611110870564261,-2.308525777570215,1.7088577435157575,-0.2760011556781305,-2.7307980039947606,1.692728361585874,-2.1078550821080637
8,8,9,013L781011,013L,54.8837768,-62.1042547,24.0,12.0,,8.0,4.0,,60.0,0.3,,2.0,,31.4,70.0,2.5,Routine,013L,54.88368,-62.10512,39.0,0.49,,0.4,,26.1,,,0.45,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,0.32,0.9,1.6,,,92.0,0.22,,0.01,10.7,0.8,0.09,0.06,27.0,2.1,0.017,0.2,11.31,9.1,0.034,0.82,,2.8,2.0,0.8,,0.46,,1.3,0.6,1.93,,26.2,,0.2,,0.4,0.009,0.03,0.09,3.0,20.0,,6.51,0.5,27.5,0.7,24.0,12.0,8.0,4.0,60.0,0.3,77.9141818268865,70.0,2.5,39.0,4900.0,26.1,0.1908668579096741,4500.0,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,3200.0,0.9,1.6,92.0,0.22,100.0,10.7,0.8,0.09,600.0,27.0,2.1,170.0,0.2,11.31,9.1,340.0,0.82,2.8,0.8,4600.0,1.3,0.6,1.93,26.2,0.2,0.4,90.0,0.03,0.09,3.0,20.0,6.51,0.5,27.5,0.7,POINT (-62.1042547 54.8837768),2.001777609617087,6.835206447586159,1.6001512778160885,-3.3179632095275466,6.750048639245851,-3.4943655002608693,1.0918766758417031,-0.3008074833769585,0.5574194475424353,-3.86905894970228,0.9115912612630492,-1.4547698671282332,-2.077299480474225,-2.629368062774265,6.409122052275259,-1.7671445521703855,-1.1917804072668237,2.860004540536481,-3.175911769142335,2.9433861494755322,0.7084597049553012,-1.884927587826769,-4.069729645164431,4.735145618703587,1.6340528294917698,-0.9198466917831819,3.4740144005377025,-3.2712219489466596,0.76390325361547,0.546490377010245,4.1671615810976474,-1.8602349752363976,-0.6321646193314011,-1.884927587826769,6.772027545964627,-1.3994197720450683,-2.17260966027855,-1.004264033595765,1.6039753742544918,-3.2712219489466596,-2.5780747683867142,2.838025633817706,-5.168341933832541,-4.069729645164431,-0.5631717478444497,1.3339482370414317,0.2115554197079186,-2.3549312170725045,1.6524019681599664,-2.0184589804512916
9,9,10,013L781012,013L,54.8647654,-62.0549116,56.0,18.0,,18.0,13.0,,120.0,1.1,,,290.0,1.4,30.0,0.7,Routine,013L,54.86467,-62.05578,22.0,1.57,,0.5,,109.5,0.2,,0.66,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,1.26,4.0,2.91,,0.06,30.0,0.37,,0.06,17.2,5.3,0.13,0.48,115.0,0.3,0.11,0.82,19.02,24.3,0.078,2.22,,4.47,,5.0,,0.06,,4.0,0.3,3.51,0.3,33.5,,0.37,,2.4,0.073,0.12,0.14,0.5,42.0,,10.33,0.95,63.2,3.3,56.0,18.0,18.0,13.0,120.0,1.1,290.0,30.0,0.7,22.0,15700.0,109.5,0.2,6600.0,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,12600.0,4.0,2.91,30.0,0.37,600.0,17.2,5.3,0.13,4800.0,115.0,0.3,1100.0,0.82,19.02,24.3,780.0,2.22,4.47,5.0,600.0,4.0,0.3,3.51,33.5,0.37,2.4,730.0,0.12,0.14,0.5,42.0,10.33,0.95,63.2,3.3,POINT (-62.0549116 54.8647654),0.7470952543936809,7.3174687923717645,2.3519773502919206,-3.9533851113987355,6.450877729049882,-4.241067183850516,1.2696697706487545,0.33020145046189375,0.9953747789794328,-3.730241560084526,0.5792143817545207,-1.5738389772685613,-2.333996868111467,-2.923765694217577,7.097504893974934,-0.9576528378447444,-1.275794117781234,1.0572501826975202,-3.338199472308502,4.052982456251511,0.5009621848547723,-0.6762403784065588,-4.38416802749119,6.1324239979313475,2.400984929398615,-3.547920003290571,4.659118259821827,-2.5423981376884734,0.6015438581526092,0.8465291513818679,4.315346720719003,-1.5464400030804468,-0.8465587903391576,-0.7345092865305346,4.052982456251511,-0.9576528378447444,-3.547920003290571,-1.0883311614868607,1.1675982398663858,-3.338199472308502,-1.4684784616107351,4.249097335177802,-4.464210735164726,-4.310060055337468,-3.0370943795245804,1.3937224193187334,-0.008894915833087812,-2.3952404933521856,1.8023571021881768,-1.1500247304922004
10,10,11,013L781014,013L,54.8542275,-62.0623395,100.0,14.0,2.0,18.0,14.0,,400.0,3.3,,2.0,160.0,17.4,50.0,0.6,Routine,013L,54.85413,-62.0632,51.0,2.14,0.4,0.5,,114.4,0.3,0.03,0.4,0.28,34.4,14.1,30.1,0.34,13.43,2.28,1.21,0.78,3.04,4.3,3.0,,,61.0,0.42,,0.04,18.3,4.7,0.15,0.32,350.0,1.06,0.052,0.66,20.0,21.9,0.058,3.33,,5.0,,3.0,,0.15,,4.0,0.4,3.64,0.2,25.3,,0.38,,1.0,0.044,0.06,0.17,0.5,63.0,,11.17,1.14,101.4,0.7,100.0,14.0,18.0,14.0,400.0,3.3,160.0,50.0,0.6,51.0,21400.0,114.4,0.3,4000.0,0.28,34.4,14.1,30.1,0.34,13.43,2.28,1.21,0.78,30400.0,4.3,3.0,61.0,0.42,400.0,18.3,4.7,0.15,3200.0,350.0,1.06,520.0,0.66,20.0,21.9,580.0,3.33,5.0,3.0,1500.0,4.0,0.4,3.64,25.3,0.38,1.0,440.0,0.06,0.17,0.5,63.0,11.17,1.14,101.4,0.7,POINT (-62.0623395 54.8542275),1.5261589353872846,7.5654795036729015,2.3340343816086566,-3.609639501662977,5.888382942764987,-3.678632373149928,1.1323898670423116,0.24050810004708148,0.9988584744177891,-3.484476358708971,0.191824313198105,-1.5814912543706918,-2.2150463377283915,-2.6541280566355407,7.916531190057272,-0.9470516746375244,-1.3070544086689315,1.7052071668362703,-3.273167265041764,3.585797849770941,0.5012343625103342,-0.8581041886210281,-4.302786682222923,5.665239391450777,3.4522664571464183,-2.3473977892130655,3.848162114238432,-2.821182141298707,0.59006557621695,0.680819939485414,3.957361406203424,-1.2026943933446885,-0.7962287849029407,-1.3070544086689315,4.90755368975326,-1.0193723362171505,-3.321957429211196,-1.1136830156883917,0.8251376983964334,-3.373250723598747,-2.405666697337041,3.681108029575266,-5.219077414097078,-4.177623539268916,-3.0988138778969865,1.7374680290544915,0.007564915744068181,-2.274638434930637,2.213406393820042,-2.7623416412757735
